klasse;busch;hutForm;hutOberflaeche;hutUnterseite;hutUnterseiteFarbe;huVerfaerbung;huVerfaerbungFarbe;hutFarbe;stielForm;stielBasis;stielFarbe;stielOberflaeche;stielNetzFlockenFarbe;stielRing;stielBasisVolva;stielHohl;fleischFarbe;fleischVerfaerbung;fleischVerfaerbungFarbe;geruch
Fichtensteinpilz;nein;gewölbt;normal;Poren;gelblich;nein;nein;hellbraun;bauchig;verdickt;weiss;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm
Fichtensteinpilz;nein;gewölbt;schmierig;Poren;olivgrün;nein;nein;braun;keulig;verdickt;hellbraun;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm
Fichtensteinpilz;nein;halbkugelig;schmierig;Poren;olivgrün;nein;nein;braun;keulig;verdickt;hellbraun;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm
Fichtensteinpilz;nein;gewölbt;schmierig;Poren;weiss;nein;nein;hellbraun;bauchig;verdickt;cremefarben;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm
Fichtensteinpilz;nein;halbkugelig;schmierig;Poren;weiss;nein;nein;hellbraun;bauchig;verdickt;cremefarben;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm
Fichtensteinpilz;nein;gewölbt;glatt;Poren;weissgrau;nein;nein;dunkelbraun;bauchig;verdickt;hellbraun;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm
Fichtensteinpilz;nein;halbkugelig;glatt;Poren;weissgrau;nein;nein;dunkelbraun;bauchig;verdickt;hellbraun;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm
Fliegenpilz;nein;ausgestreckt;huellreste;Lamellen;weiss;nein;nein;orangefarben;zylindrisch;Knolle;weiss;normal;nein;ja;ja;ja;weiss;nein;nein;neutral
Fliegenpilz;nein;gewölbt;huellreste;Lamellen;weiss;nein;nein;orangefarben;zylindrisch;Knolle;weiss;normal;nein;ja;ja;ja;weiss;nein;nein;neutral
Fliegenpilz;nein;kugelig;huellreste;Lamellen;weiss;nein;nein;orangefarben;zylindrisch;Knolle;weiss;normal;nein;ja;ja;ja;weiss;nein;nein;neutral
Fliegenpilz;nein;gewölbt;huellreste;Lamellen;weiss;nein;nein;orangegelb;zylindrisch;Knolle;weiss;normal;nein;ja;ja;nein;gelblich;nein;nein;neutral
Fliegenpilz;nein;kugelig;huellreste;Lamellen;weiss;nein;nein;orangegelb;zylindrisch;Knolle;weiss;normal;nein;ja;ja;nein;gelblich;nein;nein;neutral
Fliegenpilz;nein;ausgestreckt;huellreste;Lamellen;weiss;nein;nein;rot;zylindrisch;knolle;weiss;normal;nein;ja;nein;nein;weiss;nein;nein;neutral
Fliegenpilz;nein;gewölbt;huellreste;Lamellen;weiss;nein;nein;rot;zylindrisch;Knolle;weiss;normal;nein;ja;ja;nein;weiss;nein;nein;neutral
Flockenstieliger Hexenröhrling;nein;gewölbt;samtig;Poren;rot;ja;blau;dunkelbraun;bauchig;verdickt;gelb;flockig;rot;nein;nein;nein;gelb;ja;blau;angenehm
Flockenstieliger Hexenröhrling;nein;halbkugelig;samtig;Poren;rot;ja;blau;dunkelbraun;bauchig;verdickt;gelb;flockig;rot;nein;nein;nein;gelb;ja;blau;angenehm
Flockenstieliger Hexenröhrling;nein;gewölbt;samtig;Poren;rot;ja;blau;graubraun;keulig;verdickt;gelb;flockig;rot;nein;nein;nein;gelb;ja;blau;angenehm
Flockenstieliger Hexenröhrling;nein;halbkugelig;samtig;Poren;rot;ja;blau;graubraun;keulig;verdickt;gelb;flockig;rot;nein;nein;nein;gelb;ja;blau;angenehm
Flockenstieliger Hexenröhrling;nein;gewölbt;samtig;Poren;rot;ja;schwarzblau;braun;bauchig;verdickt;gelb-rot;flockig;rot;nein;nein;nein;gelblich;ja;blau;angenehm
Flockenstieliger Hexenröhrling;nein;halbkugelig;samtig;Poren;rot;ja;schwarzblau;braun;bauchig;verdickt;gelb-rot;flockig;rot;nein;nein;nein;gelblich;ja;blau;angenehm
Gallenröhrling;nein;gewölbt;samtig;Poren;rosa;ja;bräunlich;hellbraun;bauchig;verdickt;hellbraun;netz;bräunlich;nein;nein;nein;weiss;nein;nein;angenehm
Gallenröhrling;nein;halbkugelig;samtig;Poren;rosa;ja;bräunlich;hellbraun;bauchig;verdickt;hellbraun;netz;bräunlich;nein;nein;nein;weiss;nein;nein;angenehm
Gallenröhrling;nein;gewölbt;samtig;Poren;rosa;nein;nein;rotbraun;keulig;verdickt;hellbraun;netz;bräunlich;nein;nein;nein;weiss;nein;nein;angenehm
Gallenröhrling;nein;halbkugelig;samtig;Poren;rosa;nein;nein;rotbraun;keulig;verdickt;hellbraun;netz;bräunlich;nein;nein;nein;weiss;nein;nein;angenehm
Gallenröhrling;nein;gewölbt;samtig;Poren;weiss;nein;nein;hellbraun;zylindrisch;verdickt;braun;netz;bräunlich;nein;nein;nein;weiss;nein;nein;angenehm
Gallenröhrling;nein;halbkugelig;samtig;Poren;weiss;nein;nein;hellbraun;zylindrisch;verdickt;braun;netz;bräunlich;nein;nein;nein;weiss;nein;nein;angenehm
Gallenröhrling;nein;gewölbt;samtig;Poren;weiss;ja;bräunlich;graubraun;bauchig;verdickt;hellbraun;netz;bräunlich;nein;nein;nein;rosa;nein;nein;unangenehm
Gallenröhrling;nein;gewölbt;samtig;Poren;weiss;ja;bräunlich;graubraun;bauchig;verdickt;hellbraun;netz;bräunlich;nein;nein;nein;rosa;nein;nein;neutral
Gallenröhrling;nein;halbkugelig;samtig;Poren;weiss;ja;bräunlich;graubraun;bauchig;verdickt;hellbraun;netz;bräunlich;nein;nein;nein;rosa;nein;nein;unangenehm
Gelber Knollenblätterpillz;nein;gewölbt;normal;Lamellen;weiss;nein;nein;weiss;zylindrisch;Knolle;weiss;normal;nein;ja;nein;ja;weiss;nein;nein;angenehm
Gelber Knollenblätterpillz;nein;halbkugelig;normal;Lamellen;weiss;nein;nein;weiss;zylindrisch;Knolle;weiss;normal;nein;ja;nein;ja;weiss;nein;nein;angenehm
Gelber Knollenblätterpilz;nein;gewölbt;normal;Lamellen;gelblich;nein;nein;gelb;zylindrisch;Knolle;gelb;normal;nein;ja;nein;ja;weiss;nein;nein;angenehm
Gelber Knollenblätterpilz;nein;halbkugelig;normal;Lamellen;gelblich;nein;nein;gelb;zylindrisch;Knolle;gelb;normal;nein;ja;nein;ja;weiss;nein;nein;angenehm
Grünblättriger Schirmpilz;nein;gebuckelt;schuppig;Lamellen;grünlich;ja;grau;weiss;zylindrisch;knolle;braun;normal;nein;ja;nein;nein;weiss;nein;nein;neutral
Grünblättriger Schirmpilz;nein;eifoermig;schuppig;Lamellen;olivgrün;ja;dunkelgrau;weiss;zylindrisch;knolle;braun;normal;nein;ja;nein;nein;weiss;nein;nein;neutral
Grünblättriger Schirmpilz;nein;gebuckelt;schuppig;Lamellen;olivgrün;ja;dunkelgrau;weiss;zylindrisch;knolle;braun;normal;nein;ja;nein;nein;weiss;nein;nein;neutral
Grüner Knollenblätterpilz;nein;gewölbt;glatt;Lamellen;weiss;nein;nein;grün;zylindrisch;knolle;weiss;genattert;weiss;ja;ja;ja;weiss;nein;nein;neutral
Grüner Knollenblätterpilz;nein;gewölbt;glatt;Lamellen;weiss;nein;nein;grün;zylindrisch;knolle;weiss;genattert;weiss;ja;ja;ja;weiss;nein;nein;angenehm
Grüner Knollenblätterpilz;nein;halbkugelig;glatt;Lamellen;weiss;nein;nein;grün;zylindrisch;knolle;weiss;genattert;weiss;ja;ja;ja;weiss;nein;nein;neutral
Grüner Knollenblätterpilz;nein;gewölbt;glatt;Lamellen;weiss;nein;nein;olivgrün;zylindrisch;knolle;weiss;genattert;weiss;ja;ja;ja;weiss;nein;nein;neutral
Grüner Knollenblätterpilz;nein;halbkugelig;glatt;Lamellen;weiss;nein;nein;olivgrün;zylindrisch;knolle;weiss;genattert;weiss;ja;ja;ja;weiss;nein;nein;neutral
Grüner Knollenblätterpilz;nein;gewölbt;glatt;Lamellen;weiss;nein;nein;weissgrün;zylindrisch;knolle;weiss;genattert;weiss;ja;ja;ja;weiss;nein;nein;angenehm
Hallimasch;ja;gewölbt;schuppig;Lamellen;cremefarben;nein;nein;braun;zylindrisch;normal;braun;normal;nein;ja;nein;ja;bräunlich;nein;nein;neutral
Hallimasch;ja;kugelig;schuppig;Lamellen;cremefarben;nein;nein;braun;zylindrisch;normal;braun;normal;nein;ja;nein;ja;bräunlich;nein;nein;neutral
Hallimasch;ja;gewölbt;schuppig;Lamellen;cremefarben;nein;nein;gelbbraun;zylindrisch;normal;braun;normal;nein;ja;nein;ja;bräunlich;nein;nein;neutral
Hallimasch;ja;kugelig;schuppig;Lamellen;cremefarben;nein;nein;gelbbraun;zylindrisch;normal;braun;normal;nein;ja;nein;ja;bräunlich;nein;nein;neutral
Hallimasch;ja;gewölbt;schuppig;Lamellen;cremefarben;nein;nein;honiggelb;zylindrisch;normal;hellbraun;normal;nein;ja;nein;ja;bräunlich;nein;nein;neutral
Hallimasch;ja;kugelig;schuppig;Lamellen;cremefarben;nein;nein;honiggelb;zylindrisch;normal;hellbraun;normal;nein;ja;nein;ja;bräunlich;nein;nein;neutral
Heiderotkappe;nein;gewölbt;samtig;Poren;weiss;nein;nein;rot;zylindrisch;normal;gräulich;schuppig;bräunlich;nein;nein;nein;weiss;ja;blaugrün;angenehm
Heiderotkappe;nein;halbkugelig;samtig;Poren;weiss;nein;nein;rot;zylindrisch;normal;gräulich;schuppig;bräunlich;nein;nein;nein;weiss;ja;blaugrün;angenehm
Karbolchampignon;nein;eifoermig;normal;Lamellen;dunkelbraun;nein;nein;weiss;zylindrisch;Knolle;weiss;normal;nein;ja;nein;nein;weiss;ja;gelb;unangenehm
Karbolchampignon;nein;gewölbt;normal;Lamellen;dunkelbraun;nein;nein;weiss;zylindrisch;Knolle;weiss;normal;nein;ja;nein;nein;weiss;ja;gelb;unangenehm
Karbolchampignon;nein;gewölbt;normal;Lamellen;rosa;nein;nein;weiss;zylindrisch;knolle;weiss;normal;nein;ja;nein;ja;weiss;ja;gelb;unangenehm
Karbolchampignon;nein;kugelig;normal;Lamellen;rosa;nein;nein;weiss;zylindrisch;knolle;weiss;normal;nein;ja;nein;ja;weiss;ja;gelb;unangenehm
Karbolchampignon;nein;gewölbt;normal;Lamellen;rosagrau;nein;nein;gräulich;zylindrisch;Knolle;weissgrau;normal;nein;ja;nein;nein;weiss;ja;gelb;unangenehm
Karbolchampignon;nein;gewölbt;normal;Lamellen;schwarzbraun;nein;nein;weiss;zylindrisch;knolle;weiss;normal;nein;ja;nein;ja;weiss;ja;gelb;unangenehm
Kegelhütiger Knollenblätterpilz;nein;kegelig;glatt;Lamellen;weiss;nein;nein;weiss;zylindrisch;knolle;weiss;normal;nein;ja;ja;nein;weiss;nein;nein;neutral
Kegelhütiger Knollenblätterpilz;nein;eifoermig;schmierig;Lamellen;weiss;nein;nein;weiss;zylindrisch;knolle;weiss;schuppig;weiss;ja;ja;nein;weiss;nein;nein;angenehm
Kegelhütiger Knollenblätterpilz;nein;gewölbt;schmierig;Lamellen;weiss;nein;nein;weiss;zylindrisch;knolle;weiss;schuppig;weiss;ja;ja;nein;weiss;nein;nein;angenehm
Kegelhütiger Knollenblätterpilz;nein;kegelig;glatt;Lamellen;weiss;nein;nein;weiss;zylindrisch;knolle;weiss;schuppig;weiss;ja;ja;nein;weiss;nein;nein;neutral
Kleiner Waldchampignon;nein;ausgestreckt;schuppig;Lamellen;dunkelbraun;nein;nein;braun;zylindrisch;verdickt;weiss;flockig;weiss;ja;nein;ja;weiss;ja;rötlich;neutral
Kleiner Waldchampignon;nein;ausgestreckt;schuppig;Lamellen;grau;nein;nein;braun;zylindrisch;verdickt;weiss;normal;weiss;ja;nein;ja;weiss;ja;rot;neutral
Kleiner Waldchampignon;nein;halbkugelig;schuppig;Lamellen;grau;nein;nein;braun;zylindrisch;verdickt;weiss;normal;weiss;ja;nein;ja;weiss;ja;rot;neutral
Kleiner Waldchampignon;nein;ausgestreckt;schuppig;Lamellen;hellbraun;nein;nein;braun;zylindrisch;normal;weiss;schuppig;weiss;ja;nein;ja;weiss;ja;rot;angenehm
Kleiner Waldchampignon;nein;halbkugelig;schuppig;Lamellen;hellbraun;nein;nein;braun;zylindrisch;normal;weiss;schuppig;weiss;ja;nein;ja;weiss;ja;rot;angenehm
Maronenröhrling;nein;gewölbt;glatt;Poren;gelb;ja;blau;rotbraun;zylindrisch;normal;braun;normal;nein;nein;nein;nein;weiss;ja;blau;angenehm
Maronenröhrling;nein;halbkugelig;glatt;Poren;gelb;ja;blau;rotbraun;zylindrisch;normal;braun;normal;nein;nein;nein;nein;weiss;ja;blau;angenehm
Maronenröhrling;nein;gewölbt;samtig;Poren;gelblich;ja;blaugrün;dunkelbraun;bauchig;verdickt;braun;längsfaserig;nein;nein;nein;nein;weiss;ja;blau;angenehm
Maronenröhrling;nein;gewölbt;samtig;Poren;gelblich;ja;blau;dunkelbraun;zylindrisch;verdickt;braun;längsfaserig;nein;nein;nein;nein;weiss;ja;blau;angenehm
Maronenröhrling;nein;halbkugelig;samtig;Poren;gelblich;ja;blau;dunkelbraun;zylindrisch;verdickt;braun;längsfaserig;nein;nein;nein;nein;weiss;ja;blau;angenehm
Maronenröhrling;nein;gewölbt;glatt;Poren;weiss;ja;blau;dunkelbraun;zylindrisch;normal;braun;normal;nein;nein;nein;nein;weiss;ja;blau;angenehm
Maronenröhrling;nein;halbkugelig;glatt;Poren;weiss;ja;blau;dunkelbraun;zylindrisch;normal;braun;normal;nein;nein;nein;nein;weiss;ja;blau;angenehm
Pantherpilz;nein;gewölbt;huellreste;Lamellen;weiss;nein;nein;braun;zylindrisch;Knolle;weiss;normal;nein;ja;nein;nein;weiss;nein;nein;angenehm
Pantherpilz;nein;halbkugelig;huellreste;Lamellen;weiss;nein;nein;braun;zylindrisch;Knolle;weiss;normal;nein;ja;nein;nein;weiss;nein;nein;angenehm
Pantherpilz;nein;ausgestreckt;huellreste;Lamellen;weiss;nein;nein;gelbbraun;zylindrisch;knolle;weiss;normal;nein;ja;ja;nein;weiss;nein;nein;neutral
Pantherpilz;nein;kugelig;huellreste;Lamellen;weiss;nein;nein;gelbbraun;zylindrisch;knolle;weiss;normal;nein;ja;ja;nein;weiss;nein;nein;neutral
Pantherpilz;nein;ausgestreckt;huellreste;Lamellen;weiss;nein;nein;graubraun;zylindrisch;knolle;weiss;normal;nein;ja;ja;nein;weiss;nein;nein;neutral
Pantherpilz;nein;kugelig;huellreste;Lamellen;weiss;nein;nein;graubraun;zylindrisch;knolle;weiss;normal;nein;ja;ja;nein;weiss;nein;nein;neutral
Parasol;nein;eifoermig;schuppig;Lamellen;cremefarben;nein;nein;gräulich;zylindrisch;Knolle;weissgrau;schuppig;bräunlich;ja;nein;nein;weiss;nein;nein;angenehm
Parasol;nein;gebuckelt;schuppig;Lamellen;cremefarben;nein;nein;gräulich;zylindrisch;Knolle;weissgrau;schuppig;bräunlich;ja;nein;nein;weiss;nein;nein;angenehm
Parasol;nein;eifoermig;schuppig;Lamellen;weiss;nein;nein;braun;zylindrisch;Knolle;braun;genattert;bräunlich;ja;nein;nein;weiss;nein;nein;angenehm
Parasol;nein;gebuckelt;schuppig;Lamellen;weiss;nein;nein;braun;zylindrisch;Knolle;braun;genattert;bräunlich;ja;nein;nein;weiss;nein;nein;angenehm
Parasol;nein;gebuckelt;schuppig;Lamellen;weiss;nein;nein;hellbraun;zylindrisch;normal;bräunlich;genattert;bräunlich;ja;nein;nein;weiss;nein;nein;angenehm
Parasol;nein;kugelig;schuppig;Lamellen;weiss;nein;nein;hellbraun;zylindrisch;normal;bräunlich;genattert;bräunlich;ja;nein;nein;weiss;nein;nein;angenehm
Parasol;nein;ausgestreckt;schuppig;Lamellen;weiss;nein;nein;weiss;zylindrisch;normal;weiss;genattert;bräunlich;ja;nein;nein;weiss;nein;nein;angenehm
Parasol;nein;kugelig;schuppig;Lamellen;weiss;nein;nein;weiss;zylindrisch;normal;weiss;genattert;bräunlich;ja;nein;nein;weiss;nein;nein;angenehm
Pfifferling;nein;gewölbt;normal;Lamellen;gelb;nein;nein;gelb;zylindrisch;zugespitzt;gelb;normal;nein;nein;nein;nein;gelb;nein;nein;angenehm
Pfifferling;nein;trichterförmig;normal;Lamellen;gelb;nein;nein;gelb;zylindrisch;zugespitzt;gelb;normal;nein;nein;nein;nein;gelb;nein;nein;angenehm
Pfifferling;nein;halbkugelig;normal;Lamellen;gelb;nein;nein;goldgelb;zylindrisch;zugespitzt;gelb;normal;nein;nein;nein;nein;gelb;nein;nein;angenehm
Pfifferling;nein;trichterförmig;normal;Lamellen;gelb;nein;nein;goldgelb;zylindrisch;zugespitzt;gelb;normal;nein;nein;nein;nein;gelb;nein;nein;angenehm
Safranschirmling;nein;eifoermig;schuppig;Lamellen;cremefarben;nein;nein;braun;zylindrisch;Knolle;braun;längsfaserig;nein;ja;nein;ja;weiss;ja;rötlich;neutral
Safranschirmling;nein;gebuckelt;schuppig;Lamellen;cremefarben;nein;nein;braun;zylindrisch;Knolle;braun;längsfaserig;nein;ja;nein;ja;weiss;ja;rötlich;neutral
Safranschirmling;nein;eifoermig;schuppig;Lamellen;weiss;nein;nein;graubraun;zylindrisch;Knolle;braun;längsfaserig;nein;ja;nein;ja;weiss;ja;rot;angenehm
Safranschirmling;nein;gebuckelt;schuppig;Lamellen;weiss;nein;nein;graubraun;zylindrisch;Knolle;braun;längsfaserig;nein;ja;nein;ja;weiss;ja;rot;angenehm
Safranschirmling;nein;ausgestreckt;schuppig;Lamellen;weiss;ja;orangerot;hellbraun;zylindrisch;knolle;cremefarben;normal;nein;ja;nein;ja;weiss;ja;safranbraun;angenehm
Safranschirmling;nein;kugelig;schuppig;Lamellen;weiss;ja;orangerot;hellbraun;zylindrisch;knolle;cremefarben;normal;nein;ja;nein;ja;weiss;ja;safranbraun;angenehm
Safranschirmling;nein;ausgestreckt;schuppig;Lamellen;weiss;ja;orangerot;dunkelbraun;zylindrisch;knolle;weiss;normal;nein;ja;nein;ja;weiss;ja;orangerot;angenehm
Safranschirmling;nein;kugelig;schuppig;Lamellen;weiss;ja;orangerot;dunkelbraun;zylindrisch;knolle;weiss;normal;nein;ja;nein;ja;weiss;ja;orangerot;angenehm
Satanspilz;nein;gewölbt;matt;Poren;rot;ja;blau;graugelb;bauchig;verdickt;gelb-rot;netz;gelb;nein;nein;nein;weiss;ja;blau;unangenehm
Satanspilz;nein;halbkugelig;matt;Poren;rot;ja;blau;graugelb;bauchig;verdickt;gelb-rot;netz;gelb;nein;nein;nein;weiss;ja;blau;unangenehm
Satanspilz;nein;gewölbt;matt;Poren;rot;ja;blau;gräulich;bauchig;verdickt;gelb-rot;netz;gelb;nein;nein;nein;gelblich;ja;blau;unangenehm
Satanspilz;nein;halbkugelig;matt;Poren;rot;ja;blau;gräulich;bauchig;verdickt;gelb-rot;netz;gelb;nein;nein;nein;gelblich;ja;blau;unangenehm
Schopftintling;nein;kegelig;schuppig;Lamellen;rosa;nein;nein;gräulich;zylindrisch;normal;weiss;normal;nein;ja;nein;ja;weiss;nein;nein;angenehm
Schopftintling;nein;kegelig;faserschuppig;Lamellen;schwarz;ja;schwarz;gräulich;zylindrisch;verdickt;weiss;normal;nein;ja;nein;ja;weiss;nein;nein;angenehm
Schopftintling;nein;eifoermig;faserschuppig;Lamellen;schwarz;ja;schwarz;weiss;zylindrisch;verdickt;weiss;normal;nein;ja;nein;ja;weiss;nein;nein;angenehm
Schopftintling;nein;eifoermig;schuppig;Lamellen;schwarz-weiss;nein;nein;weiss;zylindrisch;normal;weiss;normal;nein;ja;nein;ja;weiss;nein;nein;neutral
Schopftintling;nein;kegelig;schuppig;Lamellen;weiss;nein;nein;weiss;zylindrisch;normal;weiss;normal;nein;ja;nein;ja;weiss;nein;nein;neutral
Schopftintling;nein;kegelig;faserschuppig;Lamellen;weiss;ja;schwarz;weiss;zylindrisch;verdickt;weiss;normal;nein;ja;nein;ja;weiss;nein;nein;angenehm
Sommersteinpilz;nein;gewölbt;rissig;Poren;gelblich;nein;nein;orangebraun;bauchig;verdickt;hellbraun;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm
Sommersteinpilz;nein;halbkugelig;rissig;Poren;gelblich;nein;nein;orangebraun;bauchig;verdickt;hellbraun;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm
Sommersteinpilz;nein;gewölbt;rissig;Poren;weiss;nein;nein;hellbraun;bauchig;verdickt;hellbraun;netz;bräunlich;nein;nein;nein;weiss;nein;nein;angenehm
Sommersteinpilz;nein;halbkugelig;rissig;Poren;weiss;nein;nein;hellbraun;bauchig;verdickt;hellbraun;netz;bräunlich;nein;nein;nein;weiss;nein;nein;angenehm
Sommersteinpilz;nein;gewölbt;rissig;Poren;weiss;nein;nein;hellbraun;keulig;verdickt;hellbraun;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm
Sommersteinpilz;nein;halbkugelig;rissig;Poren;weiss;nein;nein;hellbraun;keulig;verdickt;hellbraun;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm
Steinpilz;nein;gewölbt;glatt;Poren;gelb;nein;nein;hellbraun;keulig;verdickt;hellbraun;netz;weiss;nein;nein;nein;gelblich;nein;nein;angenehm
Steinpilz;nein;halbkugelig;glatt;Poren;gelb;nein;nein;hellbraun;keulig;verdickt;hellbraun;netz;weiss;nein;nein;nein;gelblich;nein;nein;angenehm
Steinpilz;nein;gewölbt;glatt;Poren;olivgrün;nein;nein;dunkelbraun;keulig;verdickt;weiss;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm
Steinpilz;nein;halbkugelig;glatt;Poren;olivgrün;nein;nein;dunkelbraun;keulig;verdickt;weiss;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm
Stockschwämmchen;ja;gewölbt;normal;Lamellen;braun;nein;nein;gelbbraun;zylindrisch;normal;weiss-braun;schuppig;bräunlich;ja;nein;nein;bräunlich;nein;nein;angenehm
Stockschwämmchen;ja;gewölbt;normal;Lamellen;braun;nein;nein;gelbbraun;zylindrisch;normal;weiss-braun;schuppig;bräunlich;ja;nein;nein;bräunlich;nein;nein;angenehm
Stockschwämmchen;ja;gewölbt;normal;Lamellen;braun;nein;nein;gelbbraun;zylindrisch;normal;weiss-braun;schuppig;bräunlich;ja;nein;nein;bräunlich;nein;nein;angenehm
Stockschwämmchen;ja;gewölbt;normal;Lamellen;braun;nein;nein;honiggelb;zylindrisch;normal;weiss-braun;schuppig;bräunlich;ja;nein;nein;bräunlich;nein;nein;angenehm
Stockschwämmchen;ja;gewölbt;normal;Lamellen;braun;nein;nein;honiggelb;zylindrisch;normal;weiss-braun;schuppig;bräunlich;ja;nein;nein;bräunlich;nein;nein;angenehm
Wiesenchampignon;nein;ausgestreckt;normal;Lamellen;dunkelbraun;nein;nein;hellbraun;zylindrisch;normal;cremefarben;normal;nein;ja;nein;nein;weiss;ja;rötlich;angenehm
Wiesenchampignon;nein;gewölbt;normal;Lamellen;dunkelbraun;nein;nein;hellbraun;zylindrisch;normal;cremefarben;normal;nein;ja;nein;nein;weiss;ja;rötlich;angenehm
Wiesenchampignon;nein;ausgestreckt;normal;Lamellen;rosa;nein;nein;weiss;zylindrisch;normal;weiss;normal;nein;ja;nein;nein;weiss;ja;rötlich;angenehm
